word	start_time	end_time
school	0.29	0.59
teaches	0.65	1.01
you	1.05	1.17
to	1.19	1.27
follow	1.33	1.67
orders.	1.75	2.07
you	3.19	3.33
sit	3.39	3.60
in	3.63	3.71
rows	3.77	4.12
and	4.20	4.28
raise	4.33	4.56
your	4.58	4.72
hand.	4.76	5.06
they	6.10	6.26
tell	6.30	6.48
you	6.52	6.62
what	6.66	6.78
to	6.82	6.90
think	6.94	7.14
not	7.22	7.40
how	7.44	7.56
to	7.60	7.66
think.	7.70	7.98
the	9.04	9.14
bell	9.18	9.40
controls	9.44	9.88
your	9.90	10.04
day	10.06	10.26
like	10.30	10.48
a	10.52	10.54
prison.	10.60	10.96
creativity	11.96	12.66
is	12.74	12.82
punished	12.88	13.22
conformity	13.27	13.85
is	13.95	14.03
rewarded.	14.09	14.55
by	15.53	15.67
the	15.71	15.83
end	15.89	16.03
you	16.07	16.17
are	16.21	16.31
trained	16.37	16.65
to	16.69	16.79
obey.	16.89	17.15
