word	start_time	end_time
farming	0.27	0.65
wasn't	0.69	0.97
an	1.01	1.05
invention	1.11	1.53
it	1.59	1.65
was	1.69	1.81
a	1.85	1.87
mistake.	1.91	2.37
for	3.45	3.59
300,000	3.93	4.63
years	4.65	4.93
ancestors	5.05	5.61
walked	5.69	5.97
past	6.03	6.33
wild	6.41	6.71
wheat.	6.75	7.01
none	8.10	8.26
of	8.29	8.36
this	8.39	8.55
was	8.62	8.73
planned.	8.79	9.20
your	10.24	10.40
entire	10.44	10.90
world	10.96	11.22
was	11.28	11.40
built	11.46	11.70
on	11.78	11.86
a	11.90	11.92
single	12.02	12.34
accidental	12.42	12.96
spill.	13.00	13.28
